x;y;u;v;column;row
0.0000;0.0000;-0.0003;-0.0072;0;0
0.0345;0.0000;0.0347;-0.0086;1;0
0.0690;0.0000;0.0694;-0.0087;2;0
0.1034;0.0000;0.1040;-0.0079;3;0
0.1379;0.0000;0.1384;-0.0064;4;0
0.1724;0.0000;0.1728;-0.0045;5;0
0.2069;0.0000;0.2071;-0.0026;6;0
0.2414;0.0000;0.2414;-0.0007;7;0
0.2759;0.0000;0.2757;0.0010;8;0
0.3103;0.0000;0.3100;0.0025;9;0
0.3448;0.0000;0.3444;0.0036;10;0
0.3793;0.0000;0.3787;0.0043;11;0
0.4138;0.0000;0.4131;0.0047;12;0
0.4483;0.0000;0.4475;0.0048;13;0
0.4828;0.0000;0.4820;0.0046;14;0
0.5172;0.0000;0.5164;0.0042;15;0
0.5517;0.0000;0.5509;0.0036;16;0
0.5862;0.0000;0.5854;0.0029;17;0
0.6207;0.0000;0.6199;0.0022;18;0
0.6552;0.0000;0.6544;0.0016;19;0
0.6897;0.0000;0.6889;0.0010;20;0
0.7241;0.0000;0.7234;0.0006;21;0
0.7586;0.0000;0.7579;0.0003;22;0
0.7931;0.0000;0.7923;0.0001;23;0
0.8276;0.0000;0.8268;0.0001;24;0
0.8621;0.0000;0.8612;0.0001;25;0
0.8966;0.0000;0.8957;-0.0000;26;0
0.9310;0.0000;0.9301;-0.0004;27;0
0.9655;0.0000;0.9647;-0.0011;28;0
1.0000;0.0000;0.9993;-0.0026;29;0
0.0000;0.0526;-0.0001;0.0474;0;1
0.0345;0.0526;0.0349;0.0457;1;1
0.0690;0.0526;0.0696;0.0454;2;1
0.1034;0.0526;0.1042;0.0461;3;1
0.1379;0.0526;0.1386;0.0474;4;1
0.1724;0.0526;0.1730;0.0490;5;1
0.2069;0.0526;0.2073;0.0508;6;1
0.2414;0.0526;0.2416;0.0526;7;1
0.2759;0.0526;0.2760;0.0542;8;1
0.3103;0.0526;0.3103;0.0555;9;1
0.3448;0.0526;0.3446;0.0564;10;1
0.3793;0.0526;0.3790;0.0571;11;1
0.4138;0.0526;0.4134;0.0574;12;1
0.4483;0.0526;0.4478;0.0573;13;1
0.4828;0.0526;0.4823;0.0571;14;1
0.5172;0.0526;0.5168;0.0566;15;1
0.5517;0.0526;0.5513;0.0559;16;1
0.5862;0.0526;0.5858;0.0552;17;1
0.6207;0.0526;0.6204;0.0544;18;1
0.6552;0.0526;0.6549;0.0537;19;1
0.6897;0.0526;0.6894;0.0531;20;1
0.7241;0.0526;0.7239;0.0526;21;1
0.7586;0.0526;0.7584;0.0523;22;1
0.7931;0.0526;0.7928;0.0521;23;1
0.8276;0.0526;0.8273;0.0520;24;1
0.8621;0.0526;0.8618;0.0519;25;1
0.8966;0.0526;0.8962;0.0518;26;1
0.9310;0.0526;0.9307;0.0514;27;1
0.9655;0.0526;0.9652;0.0506;28;1
1.0000;0.0526;0.9999;0.0491;29;1
0.0000;0.1053;-0.0001;0.1012;0;2
0.0345;0.1053;0.0349;0.0994;1;2
0.0690;0.1053;0.0696;0.0989;2;2
0.1034;0.1053;0.1042;0.0994;3;2
0.1379;0.1053;0.1386;0.1006;4;2
0.1724;0.1053;0.1730;0.1022;5;2
0.2069;0.1053;0.2074;0.1039;6;2
0.2414;0.1053;0.2417;0.1055;7;2
0.2759;0.1053;0.2760;0.1070;8;2
0.3103;0.1053;0.3103;0.1082;9;2
0.3448;0.1053;0.3447;0.1091;10;2
0.3793;0.1053;0.3791;0.1097;11;2
0.4138;0.1053;0.4135;0.1099;12;2
0.4483;0.1053;0.4480;0.1098;13;2
0.4828;0.1053;0.4824;0.1095;14;2
0.5172;0.1053;0.5170;0.1089;15;2
0.5517;0.1053;0.5515;0.1082;16;2
0.5862;0.1053;0.5860;0.1075;17;2
0.6207;0.1053;0.6205;0.1067;18;2
0.6552;0.1053;0.6551;0.1060;19;2
0.6897;0.1053;0.6896;0.1053;20;2
0.7241;0.1053;0.7241;0.1048;21;2
0.7586;0.1053;0.7586;0.1045;22;2
0.7931;0.1053;0.7931;0.1042;23;2
0.8276;0.1053;0.8276;0.1041;24;2
0.8621;0.1053;0.8620;0.1040;25;2
0.8966;0.1053;0.8965;0.1038;26;2
0.9310;0.1053;0.9310;0.1034;27;2
0.9655;0.1053;0.9655;0.1026;28;2
1.0000;0.1053;1.0002;0.1010;29;2
0.0000;0.1579;-0.0002;0.1545;0;3
0.0345;0.1579;0.0348;0.1526;1;3
0.0690;0.1579;0.0695;0.1520;2;3
0.1034;0.1579;0.1041;0.1525;3;3
0.1379;0.1579;0.1386;0.1536;4;3
0.1724;0.1579;0.1730;0.1550;5;3
0.2069;0.1579;0.2073;0.1566;6;3
0.2414;0.1579;0.2416;0.1582;7;3
0.2759;0.1579;0.2760;0.1596;8;3
0.3103;0.1579;0.3103;0.1608;9;3
0.3448;0.1579;0.3447;0.1617;10;3
0.3793;0.1579;0.3791;0.1622;11;3
0.4138;0.1579;0.4135;0.1624;12;3
0.4483;0.1579;0.4480;0.1623;13;3
0.4828;0.1579;0.4825;0.1619;14;3
0.5172;0.1579;0.5170;0.1614;15;3
0.5517;0.1579;0.5515;0.1607;16;3
0.5862;0.1579;0.5861;0.1599;17;3
0.6207;0.1579;0.6206;0.1591;18;3
0.6552;0.1579;0.6551;0.1584;19;3
0.6897;0.1579;0.6897;0.1577;20;3
0.7241;0.1579;0.7242;0.1572;21;3
0.7586;0.1579;0.7587;0.1569;22;3
0.7931;0.1579;0.7932;0.1566;23;3
0.8276;0.1579;0.8276;0.1565;24;3
0.8621;0.1579;0.8621;0.1564;25;3
0.8966;0.1579;0.8966;0.1561;26;3
0.9310;0.1579;0.9311;0.1557;27;3
0.9655;0.1579;0.9657;0.1548;28;3
