x;y;u;v;column;row
0.0000;0.0000;0.0075;-0.0090;0;0
0.0345;0.0000;0.0421;-0.0084;1;0
0.0690;0.0000;0.0766;-0.0077;2;0
0.1034;0.0000;0.1109;-0.0068;3;0
0.1379;0.0000;0.1449;-0.0056;4;0
0.1724;0.0000;0.1782;-0.0039;5;0
0.2069;0.0000;0.2112;-0.0020;6;0
0.2414;0.0000;0.2447;-0.0011;7;0
0.2759;0.0000;0.2790;-0.0014;8;0
0.3103;0.0000;0.3131;-0.0016;9;0
0.3448;0.0000;0.3467;-0.0016;10;0
0.3793;0.0000;0.3802;-0.0018;11;0
0.4138;0.0000;0.4132;-0.0016;12;0
0.4483;0.0000;0.4469;-0.0016;13;0
0.4828;0.0000;0.4820;-0.0024;14;0
0.5172;0.0000;0.5186;-0.0043;15;0
0.5517;0.0000;0.5563;-0.0072;16;0
0.5862;0.0000;0.5939;-0.0101;17;0
0.6207;0.0000;0.6310;-0.0125;18;0
0.6552;0.0000;0.6674;-0.0143;19;0
0.6897;0.0000;0.7033;-0.0157;20;0
0.7241;0.0000;0.7390;-0.0167;21;0
0.7586;0.0000;0.7744;-0.0176;22;0
0.7931;0.0000;0.8098;-0.0182;23;0
0.8276;0.0000;0.8450;-0.0188;24;0
0.8621;0.0000;0.8802;-0.0193;25;0
0.8966;0.0000;0.9153;-0.0198;26;0
0.9310;0.0000;0.9504;-0.0202;27;0
0.9655;0.0000;0.9855;-0.0206;28;0
1.0000;0.0000;1.0206;-0.0210;29;0
0.0000;0.0526;0.0056;0.0449;0;1
0.0345;0.0526;0.0402;0.0455;1;1
0.0690;0.0526;0.0748;0.0463;2;1
0.1034;0.0526;0.1093;0.0472;3;1
0.1379;0.0526;0.1436;0.0484;4;1
0.1724;0.0526;0.1770;0.0501;5;1
0.2069;0.0526;0.2087;0.0536;6;1
0.2414;0.0526;0.2418;0.0550;7;1
0.2759;0.0526;0.2783;0.0520;8;1
0.3103;0.0526;0.3129;0.0513;9;1
0.3448;0.0526;0.3455;0.0531;10;1
0.3793;0.0526;0.3814;0.0494;11;1
0.4138;0.0526;0.4119;0.0518;12;1
0.4483;0.0526;0.4452;0.0523;13;1
0.4828;0.0526;0.4798;0.0520;14;1
0.5172;0.0526;0.5170;0.0497;15;1
0.5517;0.0526;0.5566;0.0453;16;1
0.5862;0.0526;0.5946;0.0419;17;1
0.6207;0.0526;0.6313;0.0397;18;1
0.6552;0.0526;0.6674;0.0382;19;1
0.6897;0.0526;0.7030;0.0372;20;1
0.7241;0.0526;0.7384;0.0364;21;1
0.7586;0.0526;0.7736;0.0358;22;1
0.7931;0.0526;0.8088;0.0353;23;1
0.8276;0.0526;0.8440;0.0349;24;1
0.8621;0.0526;0.8791;0.0344;25;1
0.8966;0.0526;0.9142;0.0340;26;1
0.9310;0.0526;0.9492;0.0336;27;1
0.9655;0.0526;0.9843;0.0332;28;1
1.0000;0.0526;1.0194;0.0328;29;1
0.0000;0.1053;0.0034;0.0988;0;2
0.0345;0.1053;0.0378;0.0996;1;2
0.0690;0.1053;0.0722;0.1005;2;2
0.1034;0.1053;0.1065;0.1018;3;2
0.1379;0.1053;0.1404;0.1038;4;2
0.1724;0.1053;0.1738;0.1065;5;2
0.2069;0.1053;0.2070;0.1079;6;2
0.2414;0.1053;0.2411;0.1078;7;2
0.2759;0.1053;0.2764;0.1062;8;2
0.3103;0.1053;0.3105;0.1065;9;2
0.3448;0.1053;0.3453;0.1055;10;2
0.3793;0.1053;0.3825;0.1004;11;2
0.4138;0.1053;0.4133;0.1040;12;2
0.4483;0.1053;0.4464;0.1056;13;2
0.4828;0.1053;0.4803;0.1047;14;2
0.5172;0.1053;0.5174;0.1015;15;2
0.5517;0.1053;0.5574;0.0967;16;2
0.5862;0.1053;0.5948;0.0940;17;2
0.6207;0.1053;0.6309;0.0925;18;2
0.6552;0.1053;0.6665;0.0916;19;2
0.6897;0.1053;0.7019;0.0909;20;2
0.7241;0.1053;0.7371;0.0904;21;2
0.7586;0.1053;0.7723;0.0899;22;2
0.7931;0.1053;0.8074;0.0894;23;2
0.8276;0.1053;0.8425;0.0890;24;2
0.8621;0.1053;0.8777;0.0886;25;2
0.8966;0.1053;0.9128;0.0881;26;2
0.9310;0.1053;0.9479;0.0877;27;2
0.9655;0.1053;0.9830;0.0873;28;2
1.0000;0.1053;1.0181;0.0869;29;2
0.0000;0.1579;0.0010;0.1528;0;3
0.0345;0.1579;0.0352;0.1535;1;3
0.0690;0.1579;0.0694;0.1543;2;3
0.1034;0.1579;0.1035;0.1551;3;3
0.1379;0.1579;0.1377;0.1559;4;3
0.1724;0.1579;0.1719;0.1572;5;3
0.2069;0.1579;0.2063;0.1597;6;3
0.2414;0.1579;0.2429;0.1575;7;3
0.2759;0.1579;0.2770;0.1574;8;3
0.3103;0.1579;0.3094;0.1599;9;3
0.3448;0.1579;0.3447;0.1584;10;3
0.3793;0.1579;0.3797;0.1574;11;3
0.4138;0.1579;0.4106;0.1620;12;3
0.4483;0.1579;0.4456;0.1593;13;3
0.4828;0.1579;0.4794;0.1605;14;3
0.5172;0.1579;0.5147;0.1599;15;3
0.5517;0.1579;0.5539;0.1534;16;3
0.5862;0.1579;0.5918;0.1496;17;3
0.6207;0.1579;0.6283;0.1478;18;3
0.6552;0.1579;0.6642;0.1467;19;3
0.6897;0.1579;0.6997;0.1459;20;3
0.7241;0.1579;0.7350;0.1453;21;3
0.7586;0.1579;0.7703;0.1447;22;3
0.7931;0.1579;0.8056;0.1441;23;3
0.8276;0.1579;0.8408;0.1436;24;3
0.8621;0.1579;0.8760;0.1431;25;3
0.8966;0.1579;0.9111;0.1425;26;3
0.9310;0.1579;0.9463;0.1420;27;3
